county,listing_id,status,address,city,state,zip,lat,lon,price,price_per_sqft,beds,baths,sqft,lot_sqft,year_built,garage,property_type,description,url,list_date,last_update,days_on_market,adu_keywords,lot_utilization,remaining_lot_sqft,price_per_bedroom
"Contra Costa County, CA",2985401279,for_sale,1415 10th St,Berkeley,CA,94710,37.878017,-122.295921,998000,0,3,4,1477.0,4644.0,1920.0,0,single_family,"Modern Elegance in Prime West Berkeley Stunning, like-new construction in the heart of Berkeleys sought-after Ocean View neighborhood. Meticulously renovated down to the studs with permits, this single-level 3-bedroom, 3.5-bath home offers nearly 1, 500 sq ft of thoughtfully designed living space on a generous 4, 644 sq ft lot. Originally built in 1920, this home now features all-new electrical, plumbing, roof and so much moreblending classic Berkeley character with the peace of mind of modern infrastructure. Inside, youll find a bright, open layout with oversized bedrooms and multiple living zones ideal for entertaining, remote work, or everyday comfort. Every detail has been consideredfrom the designer kitchen to the spa-inspired bathrooms. Step outside to a spacious, level backyardperfect for gardening, outdoor dining, or future expansion. Whether you're dreaming of an ADU or simply crave space to play, the lot offers endless potential. Located just minutes from Fourth Street shops, Whole Foods, REI, Acme Bread, Gilman Brewing, and Berkeley Bowl West. Zoned for top rated Berkeley Schools. Excellent proximity to parks, BART, AC Transit, and I-80, making commuting a breeze.",https://www.realtor.com/realestateandhomes-detail/1415-10th-St_Berkeley_CA_94710_M10376-51845,2025-08-15 21:51:34+00:00,,0,ADU,0.31804478897502153,3167.0,332666.6666666667
"Contra Costa County, CA",2985368959,for_sale,5774 Friar Ct,El Sobrante,CA,94803,37.956069,-122.274583,789000,0,4,2,1588.0,8050.0,1955.0,0,single_family,"Charming Renovated Home in Sherwood Forest ADU/Lot Split Potential! Welcome to this beautifully updated 4-bedroom, 2-bath single-family home nestled in the desirable Sherwood Forest neighborhood of El Sobrante. With 1, 588 sq. ft. of thoughtfully designed living space on an expansive 8, 050 sq. ft. flat lot, this home offers comfort, style, and incredible potential. Step inside to find gleaming hardwood floors, dual-paned windows that fill the home with natural light, and a fully renovated kitchen and bathrooms featuring modern finishes and fixtures. The open layout is perfect for both everyday living and entertaining. Enjoy peace of mind with a brand-new roof, and take advantage of the large backyardideal for gardening, entertaining, or future development. The generous lot size and configuration make it a perfect candidate for an ADU (Accessory Dwelling Unit) or potential SB9 lot split (buyer to verify with local jurisdiction). Located in a quiet, well-established neighborhood with easy access to schools, parks, shopping, and commuter routes, this move-in ready gem is a rare opportunity you wont want to miss!",https://www.realtor.com/realestateandhomes-detail/5774-Friar-Ct_El-Sobrante_CA_94803_M20274-47537,2025-08-15 03:51:28+00:00,,0,"Accessory Dwelling, ADU",0.1972670807453416,6462.0,197250.0
"Contra Costa County, CA",2985361622,for_sale,221 El Sobrante Dr,Danville,CA,94526,37.824626,-121.990196,3525000,0,4,6,4164.0,15400.0,1948.0,0,single_family,"OPEN SAT 8/23 & SUN 8/24, 1PM-4PM! Breathtaking and serene! Boasting over $1 million in luxury upgrades with no detail spared. Two additional dwelling units provide unmatched versatility for multigenerational living. The brand new upstairs one bedroom apartment features a kitchen with island, living room, full bath, custom closet, in-unit washer/dryer, and balcony. The second attached in-law unit has a full bath, kitchenette, and private entranceideal for extended family, guests, or a private work space. The cozy great room opens up to the stunningly upgraded kitchen, and features an extended waterfall island, high end Miele appliances, two wine fridges, and top of the line hardware. Perfect for year-round entertaining with a custom bar in the pool house/entertainment lounge and a resort-style backyard with a stunning pool and tranquil areas ideal for unwinding or enjoying peaceful evenings at home. Additional features include: beautiful fireplaces, elegant Knotty Alder wood cabinets, custom closet organizers, owned solar, EV charger, extra long driveway perfect for RV/boat parking and so much more! With so many luxury features and thoughtful details, this home offers far more than can be captured. Steps away shopping and dining in downtown Danville and award winning schools.",https://www.realtor.com/realestateandhomes-detail/221-El-Sobrante-Dr_Danville_CA_94526_M18963-68696,2025-08-15 00:07:00+00:00,,0,in-law unit,0.2703896103896104,11236.0,881250.0
"Contra Costa County, CA",2985361081,for_sale,1051 Kaski Ln,Concord,CA,94518,37.952389,-122.009627,985000,0,4,3,1956.0,11761.0,1962.0,0,single_family,"This secluded hilltop dream home at the end of a private cul-de-sac, rests at the base of Lime Ridges stunning open space where thrilling hikes, scenic bike rides, & wildlife views await! Inside, this recently transformed & illuminated masterpiece, features a sleek, open-concept design. The remodeled kitchen is a true focal point, curated for effortless entertaining with its wine fridge, gas range, multitude of two-toned cabinets, plentiful Quartz counter space & a massive dine-in island. From your great room, French doors open to an immense terraced backyard of 11, 761 sq ft, ideal for celebrations, soccer matches (no joke), or quiet evenings, embodying outdoor living at its finest. The expansive primary suite is a private sanctuary with soaring vaulted ceilings & a balcony overlooking your monumental backyard & landscapes beyond. A stunning arch-window view frames the luxurious ensuite with its spa-like features. Upstairs, you'll find a second primary bedroom with ensuite, & a third bedroom downstairs, your 4th bedroom, perfect for a home office, playroom, or guest room. Additional highlights include a new roof & solar, skylights, a generous garage and carport, a storage barn, and room for an ADU. All this and near lively Walnut Creek, Clayton, & Pleasant Hill! A true Must-See!",https://www.realtor.com/realestateandhomes-detail/1051-Kaski-Ln_Concord_CA_94518_M13626-94506,2025-08-14 23:58:00+00:00,,0,ADU,0.16631238840234674,9805.0,246250.0
"Contra Costa County, CA",2985355402,for_sale,3397 Orchard Valley Ln,Lafayette,CA,94549,37.892434,-122.108831,1200000,0,3,2,1126.0,6098.0,1965.0,0,single_family,"This home and detached Studio is a block away from restaurants, salons, and spas, yet sits on a private drive with views of the Lafayette hills. Remodeled inside and out, featuring fresh paint, lighting, new ss appliances, luxury vinyl plank throughout and new or refreshed fencing on all sides. Upgrades include Anderson windows, Takagi tankless water heater, Trane heater, and a custom drainage system. Embracing indoor/outdoor living, the property boasts two spacious courtyards surrounded with low-maintenance plantings including daffodils, poppies, fennel, rosemary and fruit trees. The main house has two generously sized bedrooms accommodating king-size beds. A smaller bedroom could be a home office, with a separate entrance for hosting clients. The Studio is a converted garage offering 363 additional square ft. of living space with three entrance points and room for a king-size bed, couch, dining table and kitchenette. This would be perfect as a family room or in-law suite with a ceiling fan, LVP flooring and a private patio. Definite potential to make convert into an ADU with Plans available for adding a bath, laundry and kitchen. This downtown home is within a mile of top-rated Lafayette schools, police, fire, BART, and Hwy 24. Or head to Headlands Brewery, a mere 700 ft away!",https://www.realtor.com/realestateandhomes-detail/3397-Orchard-Valley-Ln_Lafayette_CA_94549_M13459-02087,2025-08-14 21:12:37+00:00,,0,ADU,0.18465070514922927,4972.0,400000.0
"Contra Costa County, CA",2985348427,for_sale,2960 Almondwood Pl,Oakley,CA,94561,37.99631,-121.748487,1799000,0,4,4,3321.0,37897.0,1988.0,0,single_family,"Prestigious Neroly Estates First Time Ever on the Market. This Sbranti custom home has been cherished by the same family who designed and built it from the ground up. Set on just under an acre in coveted Neroly Estates, it commands the entire frontage of its streeta presence you cant recreate. Inside, vaulted ceilings soar above rich custom woodwork, intricate stained-glass, marble-accented entry, hardwood floors, and timeless architectural detail. 4 bedrooms plus an executive office and dedicated storage room offer versatility. The chefs kitchen features a Viking 6-burner range with griddle, dual ovens, granite counters, and 54 custom alder cabinets. The primary retreat boasts a pine wood ceiling, gorgeous gas fireplace, and spa-inspired bath with Swedish air tub. Outdoors, lush landscaping surrounds a resort-style pool and spa with cascading waterfall, covered patio with fireplace, and a custom playhouse with electricity. A 3-car attached garage plus detached garage offer parking or potential ADU, pool house, or workshop. 47 owned solar panels, private well, and updated exterior complete this rare opportunity.",https://www.realtor.com/realestateandhomes-detail/2960-Almondwood-Pl_Oakley_CA_94561_M21126-57078,2025-08-14 19:07:57+00:00,,0,ADU,0.08763226640631185,34576.0,449750.0
"Contra Costa County, CA",2985345973,for_sale,884 Juanita Dr,Lafayette,CA,94595,37.887365,-122.084018,1394900,0,4,2,1718.0,7200.0,1950.0,0,single_family,"Excellent Schools! Amazing opportunity with tremendous upside potential in highly sought after Saranap. Large, level corner lot and a charming single level home in the heart of the prime, vibrant tree-lined neighborhood! This light filled ranch home features hardwood floors, 4 spacious bedrooms, 2 full bathrooms, bright open kitchen and inviting indoor/outdoor entertaining. Other amenities include dual pane windows, formal dining, updated lighting, and a spacious great room, with a cozy fireplace. The large, detached garage is big enough for 2 cars, large office or potential ADU. The lush and colorful backyard is full of fruit trees, beautiful roses and is prime for lawn, pool, garden or any type of landscape for home additions. This is a wonderful opportunity!",https://www.realtor.com/realestateandhomes-detail/884-Juanita-Dr_Lafayette_CA_94595_M15206-53464,2025-08-14 18:25:09+00:00,,0,ADU,0.2386111111111111,5482.0,348725.0
"Contra Costa County, CA",2985338201,for_sale,756 Acorn Ct,San Ramon,CA,94583,37.736426,-121.93736,1398000,0,3,2,1770.0,8500.0,1971.0,0,single_family,"Welcome to 756 Acorn Ct.Single-Story Home with Solar, Pool and ADU Potential on a Large Lot in San Ramon. Situated on a quiet cul-de-sac in one of San Ramon's most sought-after neighborhoods, this well-maintained single-story home offers 1, 770 sq ft of living space on a generous 8, 500 sqft lot, complete with a beautiful in-ground pool and a spacious, private backyard. Inside, the home features a bright and functional layout with 3 bedrooms and 2 full bathrooms. Vaulted ceilings and large windows bring in natural light, while the living and dining areas offer flexibility for everyday living and entertaining. The family room complete with a pellet fireplace, opens to the backyard, and the kitchen provides ample counter space with views of the pool. The primary suite includes a private bath and a door that leads directly to the backyard perfect for relaxing mornings or an easy poolside retreat. Step outside to enjoy the sparkling pool, mature landscaping, and a deep backyard with excellent potential for an ADU (Accessory Dwelling Unit) guest house, or home officeideal for added space or rental income (buyer to verify). Located close to top-rated San Ramon schools, parks, shopping, dining, and commuter routes, this home offers a rare combination of comfort, flexibility, and location.",https://www.realtor.com/realestateandhomes-detail/756-Acorn-Ct_San-Ramon_CA_94583_M25927-20097,2025-08-14 15:43:54+00:00,,0,"Accessory Dwelling, ADU",0.20823529411764705,6730.0,466000.0
"Contra Costa County, CA",2985331881,for_sale,2465 Buena Vista Ave,Walnut Creek,CA,94597,37.913821,-122.072911,1000000,0,3,2,1556.0,6138.0,1957.0,0,single_family,"Discover the perfect blend of comfort, convenience, and versatility in this Walnut Creek home with an attached ADU, ideal for friends, guests, or rental income. Inside, you'll find hardwood floors, newer appliances, and a recently updated roof and fascia. The private backyard offers a peaceful retreat, perfect for relaxing or entertaining. There are also plentiful fruit trees all around the property. Located just a short walk to the elementary school, this home also offers quick access to the freeway for an easy commute. Parks, shopping, dining, and other everyday amenities are all close by, making this property a rare find in a sought-after location.",https://www.realtor.com/realestateandhomes-detail/2465-Buena-Vista-Ave_Walnut-Creek_CA_94597_M11363-29798,2025-08-14 13:12:35+00:00,,0,ADU,0.2535027696318019,4582.0,333333.3333333333
"Contra Costa County, CA",2985323018,for_sale,2460 Sky Rd,Walnut Creek,CA,94597,37.91578,-122.07544,1345000,0,3,2,1837.0,12900.0,1985.0,0,single_family,"Irresistible Mt. Diablo Views + Top-Rated Schools!!! Come for the view & stay for a lifetime! Experience this single-story floor plan from a top-of-the-world vantage point, that puts you conveniently close to schools, Larkey Park & Walnut Creek's vibrant downtown. Living & dining w/ view deck for relaxation & a separate open concept family room off the kitchen. Windows & sliders provide a seamless connection to the outdoors w/ breathtaking & memorable views. Another large Trex deck for entertainment w/ sweeping views of Mt. Diablo & the surrounding hills, plus access to the King-sized primary w/ ensuite bath, walk-in shower & dual vanity. 2 additional bedrooms overlook the court location. Interior staircase accesses an oversized 2-car garage (660 sf ), plus envy-worthy storage areas (685 sf crawl space storage w/ headroom). The areas below the home's decks & family room provide space to store/park additional bikes, motorcycles, outdoor gear. Level & terraced yards allow for raised planter beds, play spaces, chicken coop, fruit trees or potentially an ADU. The possibilities are endless, but the time is now to make this one your own. Come explore this exceptional property...you'll find that this one puts the good life at your doorstep!",https://www.realtor.com/realestateandhomes-detail/2460-Sky-Rd_Walnut-Creek_CA_94597_M29589-06621,2025-08-14 01:33:32+00:00,,0,ADU,0.1424031007751938,11063.0,448333.3333333333
"Contra Costa County, CA",2985318005,for_sale,51 Brightwood Cir,Danville,CA,94506,37.823644,-121.942311,3300000,0,5,5,4400.0,19994.0,1996.0,0,single_family,"Beautifully updated home in the highly desirable Magee Ranch neighborhood. This stunning property features a grand foyer, soaring ceilings, rich hardwood floors, elegant crown molding and ADU/pool house with living space. The light-filled living and dining rooms offer elegant entertaining spaces, while the gourmet kitchen boasts a walk-in pantry, built-in stainless steel appliances, six-burner gas range, and large island that opens to a spacious family room with views of the resort-style backyard. Upstairs, the luxurious primary suite includes vaulted ceilings, a spacious walk-in closet, and a spa-inspired bath. The true showstopper is the private backyard oasis with a sparkling pool, waterfall, spa, and beautifully finished pool house/ADU complete with kitchenette, living area, and full bath with walk-in shower. Perfect for guests, work-from-home, or multigenerational living. Located in the top-rated SRV school district and just minutes from downtown Danville, parks, and shopping. This is a must-see!",https://www.realtor.com/realestateandhomes-detail/51-Brightwood-Cir_Danville_CA_94506_M29140-27053,2025-08-14 00:06:43+00:00,,0,ADU,0.2200660198059418,15594.0,660000.0
"Contra Costa County, CA",2985316555,for_sale,732 Windward Dr,Rodeo,CA,94572,38.017177,-122.253869,765000,0,4,2,1530.0,5998.0,1973.0,0,single_family,"You Don't Want to Miss This Amazing Opportunity!! Nestled on a quiet, mature street in the established Rodeo community, 732 Windward Dr offers a spacious 4-bedroom, 2-bath single-story home featuring a large living room, family room, and a freshly painted interior. Enjoy all-new vents, updated lighting, and modern hardware throughout. The kitchen shines with stainless steel appliances, new flooring, and upgraded lighting. A separate freezer, plus a washer and dryer in the garage, will convey with the property (no warranty provided). All carpet in the bedrooms has been removed price reflects flooring removal so the buyer can select their preferred finish. This home provides an attached 2-car garage, RV parking, and space for boat storage behind the private fenced backyard. Additionally, a huge detached garage/workshop at the rear of the property offers excellent storage and can be used as an ADU. Conveniently located about 2 minutes from I-80 and State Route 4, this property offers an easy commute to San Francisco, Oakland, and other Bay Area cities, with close proximity to shopping, public transit, and more. Escrow is opened with Chicago Title- see private remarks",https://www.realtor.com/realestateandhomes-detail/732-Windward-Dr_Rodeo_CA_94572_M22119-25325,2025-08-13 23:25:47+00:00,,0,ADU,0.2550850283427809,4468.0,191250.0
"Contra Costa County, CA",2985313915,for_sale,280 Fairway Dr,Danville,CA,94526,37.838056,-121.971649,2550000,0,4,3,2463.0,23250.0,1961.0,0,single_family,"Discover 280 Fairway Drive, perfectly situated on a picturesque 0.53-acre lot adjacent to Diablo Country Club golf course. This single-level ranch home features four bedrooms and three full bathrooms within 2, 463 square feet, providing an ideal setting for both relaxation and entertaining. Key features of the property include a great room with expansive windows, an additional family room, a modernized kitchen, and a tranquil yard. The beautifully landscaped grounds boast a pool and a generously sized lawn area. A large shed offers versatile potential as a playhouse or for storage. The flat lot is perfect for those considering adding an ADU. Conveniently located, this home offers proximity to twelve years of excellent Danville schools, easy freeway access, and is just a short golf cart ride away from Diablo Country Club. Seize the chance to own this exceptional home.",https://www.realtor.com/realestateandhomes-detail/280-Fairway-Dr_Danville_CA_94526_M18994-99035,2025-08-13 22:03:30+00:00,,0,ADU,0.10593548387096774,20787.0,637500.0
"Contra Costa County, CA",2985308689,for_sale,206 Glory Lily Ct,San Ramon,CA,94582,37.777811,-121.905311,2950000,0,5,4,4748.0,9076.0,2005.0,0,single_family,"Luxury, privacy, and versatility meet at this stunning 4, 748 sqft Whitney model by Shapell. Ideally situated on a quiet cul-de-sac in sought-after Gale Ranch-featuring direct access to hiking trails. Freshly landscaped, this home boasts new light fixtures, leased solar, central vac, EV charging, intercom, extensive millwork throughout, and smart home features including Nest, smart lock, and app-controlled sprinklers. The chef's kitchen offers cherry cabinetry, granite counters, center island with bar seating, SS appliances, breakfast nook, and access to a beautifully upgraded courtyard with stone, tile, fountain, and gated entry. Enjoy 2 staircases, one leading to a rare in-law unit with living area, kitchenette, and ensuite bedroom. Upstairs includes a theatre room with acoustic panels and surround sound, plus a luxurious primary suite with private balcony, spa bath, and custom walk-in closet. The backyard is low-maintenance with lush lawn, patio, new flowers, play structure, and shed. Walking distance to Monarch Park and close to award-winning SRV schools, shopping, and dining.",https://www.realtor.com/realestateandhomes-detail/206-Glory-Lily-Ct_San-Ramon_CA_94582_M18323-98847,2025-08-13 20:07:26+00:00,,0,in-law unit,0.5231379462318202,4328.0,590000.0
